,text,tone,topic,group_id,comments_cnt:,likes_cnt,reposts_cnt,from_id,post_id,views_cnt
0,Верил в него до конца,positive,science,151060688,0,11,7,-151060688,1401332,1733
1,,positive,science,151060688,2,6,22,-151060688,1401328,2783
2,,positive,science,151060688,0,0,0,-151060688,1401324,3035
3,,positive,science,151060688,6,60,9,-151060688,1401319,6979
4,,positive,science,151060688,1,12,1,-151060688,1401316,3097
5,,positive,science,151060688,0,25,6,-151060688,1401307,4021
6,,positive,science,151060688,0,12,0,-151060688,1401303,4450
7,,positive,science,151060688,2,12,5,-151060688,1401296,3508
8,Роскошная,positive,science,151060688,0,17,2,-151060688,1401293,5466
9,,positive,science,151060688,0,16,4,-151060688,1401289,5783
10,,positive,science,151060688,0,3,2,-151060688,1401287,2947
11,Я свою тоже покрашу через 3 года 🤣,positive,science,151060688,2,38,18,-151060688,1401284,5953
12,Все мы золотцы,positive,science,151060688,1,22,6,-151060688,1401276,7250
13,,positive,science,151060688,6,13,0,-151060688,1401270,8739
14,,positive,science,151060688,0,25,4,-151060688,1401265,4144
15,Японский фристайл-скейтбордист,positive,science,151060688,0,12,0,-151060688,1401261,4625
16,,positive,science,151060688,1,22,4,-151060688,1401254,4461
17,,positive,science,151060688,1,5,1,-151060688,1401248,3807
18,,positive,science,151060688,0,11,1,-151060688,1401242,3549
19,,positive,science,151060688,2,41,8,-151060688,1401233,6732
20,,positive,science,151060688,3,56,6,-151060688,1401229,9405
21,Конвертоплан Bell V-22 Osprey во время взлёта разрушает покрытие вертолётной площадки,positive,science,151060688,1,12,2,-151060688,1401226,4464
22,,positive,science,151060688,0,8,2,-151060688,1401223,4167
23,,positive,science,151060688,0,0,0,-151060688,1401220,2618
24,,positive,science,151060688,3,11,0,-151060688,1401215,6007
25,,positive,science,151060688,1,9,0,-151060688,1401214,4097
26,,positive,science,151060688,6,37,10,-151060688,1401207,8693
27,,positive,science,151060688,1,8,3,-151060688,1401195,4053
28,,positive,science,151060688,29,175,10,-151060688,1401190,41379
29,И вполне заслуженно,positive,science,151060688,1,29,5,-151060688,1401186,4717
30,,positive,science,151060688,0,13,3,-151060688,1401181,4619
31,,positive,science,151060688,0,0,0,-151060688,1401179,3820
32,Зато в космос лезем и в чужие жизни 😅,positive,science,151060688,0,35,0,-151060688,1401176,5342
33,Зачем же он нужен такой?,positive,science,151060688,3,7,10,-151060688,1401172,11282
34,,positive,science,151060688,1,36,4,-151060688,1401166,6159
35,Прекрасно. В этом и смысл,positive,science,151060688,3,28,17,-151060688,1401157,9816
36,Впечатляющий концепт подземного гаража,positive,science,151060688,1,7,1,-151060688,1401152,3820
37,,positive,science,151060688,0,16,2,-151060688,1401147,5294
38,,positive,science,151060688,4,32,7,-151060688,1401135,5045
39,,positive,science,151060688,0,8,1,-151060688,1401133,3714
40,,positive,science,151060688,0,8,1,-151060688,1401115,4780
41,,positive,science,151060688,3,13,3,-151060688,1401098,5046
42,,positive,science,151060688,2,15,14,-151060688,1401088,6807
43,"Модель авиационного двигателя, созданная на 3D принтере, так еще и работает",positive,science,151060688,0,14,4,-151060688,1401085,4578
44,,positive,science,151060688,0,19,8,-151060688,1401083,5484
45,,positive,science,151060688,0,1,0,-151060688,1401078,4864
46,,positive,science,151060688,8,28,8,-151060688,1401071,7660
47,,positive,science,151060688,5,4,6,-151060688,1401058,4613
48,,positive,science,151060688,0,16,0,-151060688,1401054,5128
49,"Вранье, нужно 880 брать, на вырост",positive,science,151060688,7,29,4,-151060688,1401042,7956
50,,positive,science,151060688,18,223,62,-151060688,1401039,42785
51,"Отряд ""Мурчащих"" 😎",positive,science,151060688,2,60,12,-151060688,1401033,6028
52,Необычненько,positive,science,151060688,0,35,9,-151060688,1401031,7021
53,,positive,science,151060688,0,1,0,-151060688,1401029,4756
54,День в аду,positive,science,151060688,0,21,1,-151060688,1401026,9581
55,,positive,science,151060688,0,8,0,-151060688,1401022,4444
56,Обнимайтесь чаще,positive,science,151060688,0,12,26,-151060688,1401018,5306
57,,positive,science,151060688,0,26,5,-151060688,1401013,4345
58,Как дела в качалке?,positive,science,151060688,0,22,37,-151060688,1401009,7114
59,,positive,science,151060688,0,21,4,-151060688,1401007,4480
60,,positive,science,151060688,0,30,11,-151060688,1401004,7207
61,,positive,science,151060688,1,11,6,-151060688,1401003,3869
62,,positive,science,151060688,2,17,0,-151060688,1400997,5555
63,,positive,science,151060688,1,30,8,-151060688,1400990,6249
64,,positive,science,151060688,25,47,10,-151060688,1400983,11988
65,Мастер бесконтактного боя,positive,science,151060688,7,14,36,-151060688,1400980,11490
66,,positive,science,151060688,0,25,12,-151060688,1400979,5382
67,,positive,science,151060688,0,1,1,-151060688,1400977,3312
68,,positive,science,151060688,0,11,12,-151060688,1400975,6057
69,,positive,science,151060688,1,37,14,-151060688,1400971,5822
70,,positive,science,151060688,1,23,3,-151060688,1400961,5783
71,555,positive,science,151060688,4,28,12,-151060688,1400958,8150
72,Самое милое не сегодня,positive,science,151060688,0,36,11,-151060688,1400948,4084
73,,positive,science,151060688,2,18,7,-151060688,1400942,4098
74,,positive,science,151060688,4,21,3,-151060688,1400938,4707
75,,positive,science,151060688,0,2,2,-151060688,1400936,3589
76,Вот это память,positive,science,151060688,2,25,0,-151060688,1400930,5883
77,Посмотрим у кого острый глаз,positive,science,151060688,28,131,29,-151060688,1400922,60294
78,Я бы попробовал,positive,science,151060688,4,31,34,-151060688,1400913,8343
79,"Ну знаете ли вы, если бы я увидел полосатую корову я бы тоже знатно прихуел 🤣",positive,science,151060688,4,35,6,-151060688,1400907,6964
80,Новогодняя игра,positive,science,151060688,2,6,6,-151060688,1400905,6639
81,Это очень романтично,positive,science,151060688,0,39,5,-151060688,1400902,6867
82,,positive,science,151060688,2,17,9,-151060688,1400896,4368
83,,positive,science,151060688,2,16,1,-151060688,1400895,4142
84,,positive,science,151060688,5,18,0,-151060688,1400890,4103
85,,positive,science,151060688,0,29,32,-151060688,1400889,5981
86,,positive,science,151060688,0,10,0,-151060688,1400888,6099
87,Просто экзамен по вождению в Китае,positive,science,151060688,2,38,16,-151060688,1400886,5850
88,,positive,science,151060688,2,33,25,-151060688,1400883,7071
89,,positive,science,151060688,0,0,0,-151060688,1400881,3311
90,,positive,science,151060688,1,17,0,-151060688,1400878,5308
91,,positive,science,151060688,1,7,3,-151060688,1400875,4325
92,,positive,science,151060688,3,20,13,-151060688,1400866,4308
93,Справедливо,positive,science,151060688,1,29,1,-151060688,1400864,5887
94,"Кошки возмущаются, их приравняли к людям 😂",positive,science,151060688,0,29,10,-151060688,1400859,5520
95,Теперь слово слизняк не звучит как оскорбление 🤣,positive,science,151060688,3,25,9,-151060688,1400855,5876
96,Самое милое на сегодня,positive,science,151060688,2,141,8,-151060688,1400847,7050
97,,positive,science,151060688,0,3,1,-151060688,1400844,4031
98,Красавчики японцы 👏,positive,science,151060688,1,30,1,-151060688,1400838,4784
99,Представляю как там женщины развлекаются 😂,positive,science,151060688,0,4,5,-151060688,1400833,3844
