,count
быть,108
такой,73
весь,48
человек,44
какой,43
этот,38
хороший,38
если,34
свой,33
вообще,33
только,32
это,31
теперь,31
себя,30
чтобы,29
я,28
ты,28
один,28
есть,27
мочь,25
потом,24
надо,23
жиза,22
который,22
хотеть,21
просто,21
когда,21
деньга,21
сказать,19
тоже,19
ребёнок,17
никто,17
любить,17
можно,17
говорить,16
жизнь,16
нужный,16
что,15
почему,15
куда,15
админ,15
делать,15
мужик,15
первый,14
зачем,14
год,14
нахуй,14
другой,14
большой,14
россия,14
похуй,13
нет,13
начать,13
знать,13
он,13
страна,13
новость,12
писать,12
сам,12
жить,12
тот,12
дать,12
смотреть,12
написать,11
кто,11
понять,11
жесть,11
слово,11
народ,10
вопрос,10
давать,10
вечеринка,10
девушка,10
должный,10
тогда,10
картинка,10
время,10
семья,10
думать,10
жопа,10
туда,9
хорошо,9
страшный,9
понимать,9
блядь,9
новый,9
твой,9
даже,9
сейчас,9
ничего,9
сделать,9
бомж,9
ждать,9
всегда,9
второй,9
место,9
очень,8
проблема,8
хоть,8
красивый,8
машина,8
нравиться,8
видео,8
конечно,8
русский,8
пойти,8
вумный,8
потому,8
женщина,8
сразу,8
httpstmejestnewss,7
забыть,7
наш,7
пусть,7
блин,7
всё,7
пацан,7
стать,7
мама,7
лошадь,7
бывать,7
показывать,7
месяц,7
они,7
ёбаный,7
дело,7
интересный,7
самый,7
ведь,7
телеграмма,7
парень,7
так,6
жалко,6
ребята,6
пиздец,6
пожалуйста,6
группа,6
комментарий,6
согласный,6
слушать,6
сидеть,6
нога,6
сколько,6
остаться,6
рука,6
нельзя,6
сиська,6
собака,6
давно,6
нужно,6
интересно,6
шутка,6
хуйня,6
любовь,6
играть,6
похожий,6
мужчина,6
правильно,6
мороз,6
простой,6
девочка,6
праздник,6
отправить,6
киркоров,6
красота,6
часть,6
считать,6
каждый,6
сука,6
тетрадь,6
купить,6
миллион,5
баба,5
последний,5
никогда,5
точно,5
позор,5
брат,5
порядок,5
работать,5
видеть,5
плохо,5
пускай,5
помощь,5
убивать,5
сердце,5
главное,5
после,5
между,5
выгнать,5
плохой,5
носка,5
устать,5
фото,5
отвечать,5
срок,5
спасибо,5
идти,5
продать,5
яйцо,5
переходить,5
вести,5
вроде,5
хватить,5
посмотреть,5
крутой,5
подумать,5
ивлеева,5
право,5
поддержка,5
мой,5
голый,5
тварь,5
выйти,5
пока,5
убрать,5
бедный,5
фильм,5
запретить,5
глаз,5
норма,5
база,5
значит,5
откуда,4
виноватый,4
желать,4
состояние,4
дочь,4
здоровье,4
пора,4
голова,4
платье,4
мать,4
чувство,4
ошибка,4
день,4
да,4
тюрьма,4
менять,4
видимо,4
ранний,4
подарить,4
уехать,4
равно,4
чурка,4
иметь,4
легенда,4
совсем,4
власть,4
важный,4
жена,4
жаль,4
святой,4
прочий,4
обмен,4
то,4
опять,4
богатый,4
очередной,4
никакой,4
мало,4
попасть,4
мир,4
хер,4
прям,4
внешность,4
уровень,4
общество,4
рубль,4
совершить,4
элита,4
реально,4
карта,4
ваш,4
дом,4
пост,4
земля,4
ехать,4
чтоть,4
бояться,4
взять,4
добрый,4
песня,4
сутки,4
нибыть,4
решить,4
утро,4
проститутка,4
смерть,4
какаять,4
автор,4
нормальный,4
постит,4
выдать,4
актёр,4
сыграть,4
быстрый,4
старый,4
агент,4
вернуть,4
обычный,4
война,4
более,4
отзыв,4
фотка,4
выкинуть,4
скоро,4
шойгу,4
внимание,4
штраф,4
правда,4
прийти,4
мнение,4
помочь,4
спать,4
сильно,4
найти,4
обезьяна,4
кожа,4
чтоб,4
нечего,4
заработать,4
мразь,4
отношение,4
наказать,4
много,4
родина,4
мерзкий,4
волосатый,4
лизать,3
молодец,3
убить,3
называть,3
столько,3
петух,3
сант,3
верить,3
дерьмо,3
дарить,3
уметь,3
подарок,3
отвратительный,3
шлюха,3
интернет,3
спасти,3
хайп,3
закрывать,3
судить,3
читать,3
моральный,3
наверное,3
ответ,3
пидор,3
операция,3
экран,3
ненавидеть,3
вещь,3
тупой,3
развитие,3
украина,3
огонь,3
тип,3
сюда,3
дешёвый,3
еблан,3
помнить,3
будто,3
сторона,3
бог,3
лицо,3
мерзость,3
ниже,3
неделя,3
зарабатывать,3
lastprofiletk,3
заработок,3
готовый,3
детство,3
животное,3
получить,3
ублюдок,3
далёкий,3
пройти,3
супер,3
гнать,3
чувак,3
свалить,3
ссылка,3
соломон,3
научиться,3
тиктокер,3
водитель,3
момент,3
начало,3
узбек,3
поп,3
спалить,3
повезти,3
подключение,3
обеспечить,3
дорого,3
гарантия,3
выплатработа,3
родитель,3
снимать,3
кумир,3
ахуенно,3
солнце,3
круто,3
извиниться,3
пара,3
урод,3
вылезти,3
история,3
закон,3
провести,3
золотой,3
имущество,3
даун,3
красавчик,3
оружие,3
против,3
сначала,3
сын,3
цвет,3
причёска,3
санкция,3
показаться,3
душа,3
кончить,3
бред,3
имб,3
идиот,3
задний,3
наверно,3
номер,3
шляпин,3
тепло,3
государство,3
герой,3
бухать,3
причём,3
окно,3
план,3
понравиться,3
память,3
любэ,3
светлый,3
какойтый,3
