,count
быть,74
такой,28
какой,26
если,23
думать,22
мочь,20
забить,19
весь,17
просто,16
очень,15
поставить,15
должный,15
только,14
человек,14
надо,14
можно,13
швед,13
большой,13
первый,13
гол,13
выиграть,12
играть,12
бавария,12
этот,12
говорить,12
хороший,11
смотреть,11
чех,11
ставить,11
победа,11
есть,11
один,11
минута,10
тоталый,10
канада,10
пока,10
тоже,10
шайба,9
друг,9
красиво,9
себя,9
ничего,9
почему,9
победить,9
взять,8
немец,8
хотеть,8
игра,8
свой,8
даже,8
вообще,8
фина,8
самый,8
маленький,8
это,8
картина,8
блин,8
счёт,8
когда,8
зачем,7
сюда,7
я,7
красота,7
матч,7
нормально,7
чтобы,7
после,7
период,7
спасибо,7
стать,7
ссылка,6
белый,6
женщина,6
конец,6
кто,6
никто,6
жить,6
сколько,6
который,6
брат,6
зайти,6
хоть,6
год,6
хорошо,6
видеть,6
посмотреть,6
латвия,6
жизнь,6
поход,6
сказать,6
финовый,6
швеция,6
фото,5
найти,5
давать,5
сильный,5
что,5
всегда,5
сам,5
молодой,5
остаться,5
ребёнок,5
судить,5
ставка,5
сити,5
обычный,5
интересный,5
настоящий,5
момент,5
выглядеть,5
надеяться,5
команда,5
тот,5
время,5
тогда,5
сделать,5
каждый,5
дать,5
много,5
понять,5
появиться,4
круто,4
лететь,4
видно,4
чехов,4
место,4
начало,4
более,4
дом,4
гоооол,4
чехия,4
ты,4
сейчас,4
покупать,4
нужный,4
он,4
картинка,4
войти,4
точно,4
ждать,4
окно,4
сенегал,4
привет,4
пойти,4
искусство,4
реал,4
второй,4
вы,4
телефон,4
экспресс,4
дело,4
прекрасно,4
пожалуйста,4
глаз,4
бог,4
красный,4
верить,4
новый,4
след,4
будеть,4
норма,4
тип,4
вроде,4
ответить,4
интересно,4
казаться,4
деньга,4
чёрный,4
мёртвый,4
нет,4
мужик,4
почти,4
нужно,4
топ,4
арсенал,4
цвет,4
выйти,3
забивать,3
конечно,3
пол,3
любовь,3
небо,3
явно,3
иллюстрация,3
говарить,3
внутри,3
сначала,3
художник,3
наверное,3
сыграть,3
потом,3
кровь,3
удаление,3
ведь,3
называть,3
прям,3
проиграть,3
группа,3
германия,3
канадец,3
парень,3
написать,3
книга,3
они,3
планета,3
галактика,3
гоол,3
земля,3
смотреться,3
голый,3
масштаб,3
космос,3
ахахах,3
душа,3
через,3
форма,3
капец,3
банвсема,3
спойлер,3
нажать,3
курла,3
челси,3
база,3
фрик,3
главное,3
транс,3
лекало,3
мозг,3
твой,3
список,3
ваш,3
иногда,3
наш,3
всякий,3
масло,3
детство,3
лох,3
делать,3
никогда,3
решить,3
любить,3
порвать,3
шакал,3
против,3
баба,3
рука,3
виснуть,3
трансляция,3
просмотр,3
забрать,3
зина,3
откуда,3
скорее,3
серия,3
красивый,3
уважение,2
идиот,2
фаворит,2
лошадь,2
изобразить,2
вести,2
тупой,2
подобный,2
нельзя,2
чисто,2
ёбаный,2
шанс,2
классно,2
получиться,2
сразу,2
право,2
прошлый,2
спать,2
ночь,2
кайф,2
стена,2
последний,2
джэксон,2
максимум,2
оператор,2
творчество,2
стараться,2
конченый,2
защищаться,2
плоттер,2
будто,2
сработать,2
чурка,2
идти,2
тайм,2
петух,2
нижний,2
русский,2
знать,2
включить,2
пять,2
автор,2
равно,2
чтоть,2
молодец,2
прибор,2
странно,2
пожать,2
ебанета,2
звезда,2
ветер,2
снимок,2
камень,2
левый,2
здорово,2
чекать,2
выгодный,2
музыка,2
начать,2
зритель,2
также,2
атаковать,2
великолепие,2
пощечен,2
фон,2
путь,2
материал,2
офсайд,2
хах,2
стоить,2
аллах,2
брать,2
упасть,2
разница,2
решётка,2
жесть,2
ощущение,2
грузить,2
полуфинал,2
комментатор,2
чудо,2
грустно,2
ловить,2
вперёд,2
легко,2
польза,2
напомнить,2
воландеморт,2
